Nombre,Edad,Ciudad,Nacionalidad,Fecha_registro,Frontera
Carlos Rodríguez,8,Bucaramanga,Venezuela,2023-12-27,Leticia
Marta Castillo,9,Cúcuta@,Ecuador,2023-06-05,Norte de Santander
Jorge Herrera,35,Bogotá,Perú,2025-09-21,La Guajira
María Lopez,26,Cúcuta,Ecuador,2025-09-30,Aeropuerto El Dorado
María Lopez,36,Medellín,Ecuador,2022-07-17,Vichada
Marta Castillo,24,Cali,Venezuela,2023-09-07,Leticia
Juan Pérez,50,Medellín,Colombia,2023-12-25,Arauca
Jorge Herrera,24,Medellín,Perú,2020-08-16,Leticia
Sofía Torres,35,Medellín,Colombia,2022-06-13,Arauca
Marta Castillo,77,Bogotá,Perú,2020-05-15,Leticia
Sofía Torres,67,Barranquilla,Venezuela,2020-04-25,Aeropuerto El Dorado
Luisa Morales,69,Medellín,Ecuador,2022-10-26,Aeropuerto El Dorado
Ana Martínez,52,Bogotá,Venezuela,2023-04-07,Leticia
Andrés Rivera,50,Barranquilla,Perú,2021-05-06,Vichada
Carlos Rodríguez#,50,Barranquilla,Venezuela,2022-06-10,Vichada
Juan Pérez,78,Cali,Venezuela,2023-08-18,Aeropuerto El Dorado
Marta Castillo,43,Cali,Ecuador,2024-10-08,Aeropuerto El Dorado
María Lopez,20,Cali,Perú,2022-05-02,Norte de Santander
Jorge Herrera,42,Cartagena,Venezuela,2025-08-28,La Guajira
Jorge Herrera,67,Cúcuta,Ecuador,2023-05-30,La Guajira
Pedro Gómez,75,Cali,Colombia,2023-10-09,La Guajira
Carlos Rodríguez,42,Bogotá,Venezuela,2025-02-12,La Guajira
Marta Castillo,7,Cúcuta,Perú,2025-01-05,La Guajira
Andrés Rivera,5,Bucaramanga,Ecuador,2022-09-29,Leticia
Andrés Rivera,76,Bogotá,Colombia,2020-04-14,La Guajira
Sofía Torres,55,Bucaramanga,Colombia,2022-04-22,Aeropuerto El Dorado
Andrés Rivera,34,Cúcuta,Ecuador,2020-05-06,Aeropuerto El Dorado
Andrés Rivera,7,Bucaramanga,Venezuela,2022-09-18,Arauca
María Lopez,15,Cali,Colombia,2020-01-01,La Guajira
Jorge Herrera,39,Bucaramanga,Perú,2025-09-10,Arauca
María Lopez,52,Bogotá,Venezuela,2022-02-12,Vichada
Juan Pérez,12,Cúcuta,Perú,2025-08-10,Aeropuerto El Dorado
Pedro Gómez,59,Bogotá,Perú,2021-03-30,Aeropuerto El Dorado
Andrés Rivera,11,Medellín,Perú,2024-05-18,Norte de Santander
María Lopez,17,Barranquilla,Perú,2021-03-28,Arauca
Andrés Rivera,55,Bucaramanga,Ecuador,2021-01-31,Vichada
Carlos Rodríguez,30,Cartagena,Venezuela,2020-03-28,La Guajira
Andrés Rivera,14,Medellín,Colombia,2022-08-23,La Guajira
Andrés Rivera?,75,Cúcuta,Perú,2024-01-09,Norte de Santander
Carlos Rodríguez%,74,Cúcuta*,Colombia,2020-08-04,Leticia
María Lopez,4,Medellín,Perú,2020-01-03,Aeropuerto El Dorado
Marta Castillo,59,Cali,Venezuela,2025-08-31,Norte de Santander
Pedro Gómez,50,Bucaramanga,Ecuador,2023-10-30,Leticia
Jorge Herrera,63,Bucaramanga,Perú,2025-01-01,La Guajira
Andrés Rivera,70,Medellín,Colombia,2025-04-25,La Guajira
Sofía Torres,70,Cúcuta,Venezuela,2025-07-18,Aeropuerto El Dorado
María Lopez,9,Medellín,Ecuador,2020-04-26,Norte de Santander
Pedro Gómez,38,Cúcuta,Ecuador,2022-10-13,Vichada
Marta Castillo,56,Cúcuta$,Colombia,2025-09-13,La Guajira
Marta Castillo,78,Cartagena,Venezuela,2022-12-23,Leticia
Jorge Herrera,27,Cali,Perú,2022-12-23,Norte de Santander
Luisa Morales,40,Cúcuta,Perú,2023-06-27,La Guajira
